host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
10.10.10.40;;;tcp;135;msrpc;open;Microsoft Windows RPC;;syn-ack;;10;cpe:/o:microsoft:windows
10.10.10.40;;;tcp;139;netbios-ssn;open;Microsoft Windows netbios-ssn;;syn-ack;;10;cpe:/o:microsoft:windows
10.10.10.40;;;tcp;445;microsoft-ds;open;Microsoft Windows 7 - 10 microsoft-ds;workgroup: WORKGROUP;syn-ack;;10;cpe:/o:microsoft:windows
10.10.10.40;;;tcp;49152;unknown;open;;;syn-ack;;3;
10.10.10.40;;;tcp;49153;unknown;open;;;syn-ack;;3;
10.10.10.40;;;tcp;49154;unknown;open;;;syn-ack;;3;
10.10.10.40;;;tcp;49155;unknown;open;;;syn-ack;;3;
10.10.10.40;;;tcp;49156;unknown;open;;;syn-ack;;3;
10.10.10.40;;;tcp;49157;unknown;open;;;syn-ack;;3;

